h1,h2,iteration,learning_rate,sigmoid_testError,tanh_testError
2,3,1500,0.021,0.351906409,0.871588048
2,3,1500,0.031,0.34502532,1.999375325
2,3,1500,0.041,0.800702357,1.999967131
2,3,1500,0.051,0.365837502,1.999999666
2,3,1500,0.061,0.890459759,1.999997775
2,3,1500,0.071,0.890463078,1.999999477
2,3,1500,0.081,0.890462588,1.999999985
2,3,1500,0.091,0.890453099,1.999987016
2,3,1500,0.101,0.890455253,1.999999998
2,3,2000,0.001,0.890020043,0.361960263
2,3,2000,0.011,0.372826838,0.890467177
2,3,2000,0.021,0.340210334,0.87675983
2,3,2000,0.031,0.333581817,1.999847316
2,3,2000,0.041,0.385552784,1.999892538
2,3,2000,0.051,0.357353927,1.999999661
2,3,2000,0.061,0.890458498,1.999997543
2,3,2000,0.071,0.890463044,1.999999467
2,3,2000,0.081,0.890462582,1.999999985
2,3,2000,0.091,0.890443873,1.999931901
2,3,2000,0.101,0.890437879,1.999999998
2,3,3000,0.001,0.858206047,0.126616626
2,3,3000,0.011,0.367291071,0.890465752
2,3,3000,0.021,0.352817296,0.874718686
2,3,3000,0.031,0.257382828,1.999844584
2,3,3000,0.041,0.35757312,1.999999212
2,3,3000,0.051,0.352608138,1.99999965
2,3,3000,0.061,0.89043402,1.999996891
2,3,3000,0.071,0.890462976,1.999999445
2,3,3000,0.081,0.890462568,1.999999985
2,3,3000,0.091,0.890462987,1.999999983
2,3,3000,0.101,0.890462961,1.999999998
2,3,4000,0.001,0.666729122,0.108945213
2,3,4000,0.011,0.318185693,0.890464887
2,3,4000,0.021,0.298692911,0.890463452
2,3,4000,0.031,0.341976797,1.999501846
2,3,4000,0.041,0.357544454,1.999999196
2,3,4000,0.051,0.361608289,1.999999639
2,3,4000,0.061,0.8904472,1.999995759
2,3,4000,0.071,0.890462906,1.99999942
2,3,4000,0.081,0.890462552,1.999999985
2,3,4000,0.091,0.890462963,1.999999983
2,3,4000,0.101,0.890462961,1.999999998
2,3,5000,0.001,0.526003778,0.104511887
2,3,5000,0.011,0.272045373,0.890464308
